Timestamp,Presentation Round,Name of Presenter,Briefly summarize the presenter's argument,How effective was the presenter's argument? ,Please rate the organization of the presentation.,Please rate the visuals included in the presentation.,Please offer any additional constructive feedback here:
9/6/2017 19:19:07,1,8,Focus on a popular neighborhood and do better in certain reviewed categories,3,4,2,There were too many factors combined into the same visuals for it to be clear what it was supposed to communicate.
9/6/2017 19:19:37,1,8,"Invest in Centrum West, potentially at lower price point",4,4,4,liked the three neighborhoods comparisons! and appreciate the hotel infographics
9/6/2017 19:19:59,1,12,Do not build a hotel in Amsterdam for Airbnb but invest in apartments in centrum oost and partner with Peter.,5,5,5,It was really good. Maybe include where you got your information but it is great.
9/6/2017 19:20:07,1,8,N/A,5,5,5,N/A
9/6/2017 19:20:24,1,8,Lowering your price point and improving parts of your rating can make you stand out in the centrum-west neighborhood.,4,5,4,"Some of the graphics were not from the presentation. Which was a double edged sword. I liked that you brought in outside info, but it wasn't the most up to date!"
9/6/2017 19:21:24,1,19,Best places to invest in an Airbnb property in Amsterdam ,5,5,5,Did a great job
9/6/2017 19:22:46,1,9,invest based on averages,4,4,3,"Sort data and use less data points.  also, line graphs should be used for time-series data, some were a bit confusing. "
9/6/2017 19:22:53,1,9,Centrum West is the best place to invest ,5,5,5,Great job
9/6/2017 19:23:31,1,9,Invest in a property in central Amsterdam.,5,5,4,"you seemed a little nervous, but you did really well!"
9/6/2017 19:23:36,1,19,Which neighborhood and which property are best to invest in.,5,5,5,N/A
9/6/2017 19:23:37,1,19,We don't have enough info to invest in Centrum -West although it is the most desirable neighborhood.,4,4,4,Liked the added visuals of Amsterdam neighborhoods.
9/6/2017 19:23:50,1,9,No concrete argument,3,2,2,In my opinion the argument could have been more precise. I would advise using visuals rather than tables because they get the point across a lot faster.
9/6/2017 19:25:02,1,19,"Centrum West may be a good area to invest in but would need more info (investment costs, maintenance costs, etc.) before knowing if we should invest or not",4,4,3,"Data regarding reviews was good and clear to follow. If could revisit, could be good to see how reviews compare to revenue"
9/6/2017 19:28:20,1,2,centrum west ,3,4,4,there was a disparity between her conclusion and the success story
9/6/2017 19:28:23,1,7,We should invest in apartments in 3 popular neighborhoods,4,5,4,The visuals could have been larger and easier to read but I think you chose the right ones to illustrate your points
9/6/2017 19:29:35,1,2,N/A,5,5,5,N/A
9/6/2017 19:30:40,1,2,That centrum-west is a good neighborhood to invest in.,3,3,2,blue on orange and black hurt my eyes for the charts
9/6/2017 19:53:02,2,5,Best places in Amsterdam for investors to invest in Airbnb properties,5,5,5,Pretty Good
9/6/2017 19:53:07,2,5,Not to invest without adequate cost information ,5,5,5,"Concise, logical "
9/6/2017 19:53:29,2,21,host can make or break success based on effort,4,4,4,went long
9/6/2017 19:53:35,2,21,What make a host successful?,5,5,5,N/A
9/6/2017 19:53:42,2,5,"Not enough info to know whether good investment, but if so, De Baarsjes loft is best bet",4,4,5,great job in short time! liked the visuals
9/6/2017 19:54:24,2,6,"centrum west, centrum oost, and de baarsejes",3,4,4,should look at revenues - its important for investors!
9/6/2017 19:54:27,2,12,"Evaluation of whether a hotel should be built in Amsterdam, once that alternative was nor recommended, an in depth analysis of the most successful neighborhoods for apartments indicated that Centrum-West was the best option.",5,5,4,Nice comparison between neighborhoods and good presentation flow. Good analysis of successful hosts.
9/6/2017 19:54:34,2,6,invest based on positive reviews,4,4,3,"Slides contain too much text, might want to focus on bullet points. Also, some charts could use axis/chart titles/description, and slide title space too much (""dead space"")."
9/6/2017 19:55:55,2,12,We should focus on neighborhoods next to the most popular one and talk to the most successful hosts,5,5,5,The visualization of the data cleaning process was great
9/6/2017 19:56:01,2,12,Partner with Peter to make more investments since he is doing well in Centrum Most,5,5,5,reojdal
9/6/2017 19:56:06,2,6,Neighborhoods with the highest rating ,3,3,3,spend more time on results than data cleaning 
9/6/2017 19:59:00,2,20,Which neighborhood is best to invest in? ,5,4,3,N/A
9/6/2017 19:59:13,2,12,Invest in Centrum Oost ,5,5,5,"Everything went well again, rushed through but only had three minutes"
9/6/2017 19:59:43,2,20,not best to invest unless you can get $800 month in revenue,4,4,4,explain the hotel idea a little clearer
9/6/2017 20:00:05,2,11,revenue per listing ,5,5,4,What makes successful hosts insights was a great addition/conclusion to the presentation in terms of trying to replicate success 
9/6/2017 20:00:16,2,1,"For most revenue, buy a house in Centrum West. If looking for a safer investment, get an apartment in Centrum West",5,5,4,Very strong overall. Like how it was broken down by Total Revenue and Revenue by Hosting Day
9/6/2017 20:00:21,2,1,Best places in to invest in property in Amsterdam,4,3,1,Didn't do a presentation/I think charts inbedded in a presentation would have been more effective. 
9/6/2017 20:00:22,2,20,Invest in Oud-west and Centrum,3,3,4,the way you got to your conclusion to invest in an airbnb in amsterdam was a little confusing to follow. i think a slide laying out your logic would have been helpful. 
9/6/2017 20:00:32,2,1,Centrum West best place to invest,4,3,4,great job!
9/6/2017 20:01:12,2,19,"After analyzing the review scores for all neighborhoods and number of listings & total revenue, the conclusion was that Centrum West was ",4,5,4,"Nice presentation tone. Nice visualization of the correlation between price and overall ratings. Good comprehension of context, going beyond just the data that was provided."
9/6/2017 20:01:40,2,21,In which property to invest and where,5,5,5,It was very good presentation
9/6/2017 20:01:48,2,11,centrum west - gurus,5,5,5,pretty clear and well organized
9/6/2017 20:01:57,2,19,We need more information to make a decision,4,4,4,Be careful about implying causation when you're looking at correlation.
9/6/2017 20:01:59,2,11,"invest based on ""success"" criteria",4,5,4,round statistics--can't have % more of a bed/night/etc. 
9/6/2017 20:02:08,2,6,Centrum West is the best neighborhood to invest in.,5,5,4,Really liked the use of heat maps in the presentation!
9/6/2017 20:02:27,2,19,Invest in properties in Centrum West,4,5,5,Could have added more information but overall done well and straight to the point. 
9/6/2017 20:02:35,2,6,high listings and high ratings = profit,3,3,3,I want to see more visuals! really drive the point home at the end. I was left unsure about which neighborhood you like most of the top 3.
9/6/2017 20:02:36,2,19,Invest in airbnb based on neighborhood and property type reviews.  But only if you're ready!,4,4,5,I liked the scatter plot
9/6/2017 20:04:41,2,18,boats surprisingly had the best review scores,4,4,4,very impressive charts with visuals that connected the data presented
9/6/2017 20:05:00,2,18,Which property invest to and in which area,5,5,5,N/A
9/6/2017 20:05:15,2,2,Best places to invest in Amsterdam ,4,3,2,Went over the time limit/Try to keep within the time limit 
9/6/2017 20:05:25,2,16,"It's important to look at more than just ratings when choosing a listing type - boats have the highest rating, but aren't as solid an investment. Our investor should investing in an apartment. ",4,5,5,"I liked that you started out with the boat, but looked at more data to disprove that recommendation. Good storytelling. "
9/6/2017 20:05:48,2,2,The top 4 neighborhoods are all good investment locations,5,5,5,Great presentation
9/6/2017 20:06:00,2,17,Investors should invest in Centrum-West,4,2,2,Great visuals but better presentation would have made it much more useful
9/6/2017 20:06:10,2,2,invest in Centrum-west,4,4,4,N/A
9/6/2017 20:06:19,2,2,Assumed we ARE investing no matter what. In which case Centrum West is the place to be. (Two others would be ok as well),4,4,4,Overall strong presentation. 
9/6/2017 20:07:06,2,14,Investors should invest in Centrum-West,3,2,1,Great visuals but better presentation would have made it much more useful
9/6/2017 20:07:27,2,7,"Choose top five types of properties: boats, lofts, bed and breakfasts, and apt,",5,5,5,Consider more graphs!
9/6/2017 20:07:31,2,14,Centrum West 2 bedroom apt is the best bet.,4,4,4,Liked the pivot tables
9/6/2017 20:07:48,2,14,"best is centrum-west, apartment, 3-bedroom",4,2,3,"little hard to read because it was small, but I liked the dashboard you made."
9/6/2017 20:07:51,2,7,"Analysis of what type of reviews receive the most positive reviews, reaching that conclusion that apartments, boats, houses, lofts and b&bs should be the focus.",4,5,4,Nice Amsterdam scenario snapshot. Good analysis of rating versus number of reviews in a scatter plot.
9/6/2017 20:07:59,2,7,"Apartments, lofts, bed n breakfast to invest",5,5,4,The presentation was clear and to the point. Not as many visuals.
9/6/2017 20:08:07,2,14,centrum west ,5,4,5,a lot of charts! but pretty interesting if he had more time
9/6/2017 20:08:49,2,7,Invest in Airbnb based on Prop types and highest reviews.,4,4,4,I liked the scatter plot and the ranking catergories
9/6/2017 20:10:36,2,3,Great places to invest in Amsterdam ,1,2,3,Great conclusion/But presentation needs a lot of work/Data needs to be accurate
9/6/2017 20:11:07,2,17,Invest off review:listing ratio,4,5,4,area graphs are confusing for rating data
9/6/2017 20:11:25,2,5,N/A,4,4,4,N/A
9/6/2017 20:11:28,2,3,Apartments in Centrum West are the most ideal,5,5,5,Quick and clean
9/6/2017 20:11:49,2,9,Investing in hosts with most revenues,4,5,5,Need to make the argument bit more clear.
9/6/2017 20:12:13,2,13,"The best investment option in Amsterdam is an apartment in the Centrum-West neighborhood, due to popularity.",4,4,3,Nice analysis on Airbnb market scenario in Amsterdam over time (# of listings) and research on external information.
9/6/2017 20:12:22,2,17,zeeburgerland!,5,4,4,"should match the supply with demand. it has low supply because no one wants to go there, then ratings wont matter"
9/6/2017 20:12:23,2,3,Diversity investment in multiple properties but with heaviest investments in apartments,4,4,4,Once you fix the id/host name issue I'm sure visuals would come together and really tie the whole presentation together. Liked the approach of using the successful hosts to tell the larger story
9/6/2017 20:12:27,2,16,In which property to invest,5,5,5,N/A
9/6/2017 20:12:31,2,3,"Invest in popular neighborhood, diversify property types but focus on apts, provide good communication",4,4,3,would be happy to hear your deeper look into houses
9/6/2017 20:12:33,2,9,Invest in a property based on the performance of other hosts.,4,4,4,"Next time you have a bar chart, I think something that would make the visual easier to follow is arranging it from lowest to highest. A bar chart may have made more sense than a line graph to some of the visualizations."
9/6/2017 20:12:39,2,17,Looking at highly reviewed neighborhoods with fewer listings,4,5,5,Really clean easy to understand charts
9/6/2017 20:12:56,2,13,We should invest in Central-West properties,4,4,3,The visuals were just hard to read -- you could put less on a slide
9/6/2017 20:13:01,2,13,Invest in CW,4,4,4,Loved how you included out side information to frame your argument (e.g. taxes)
9/6/2017 20:13:03,2,13,"Invest in apartments because of price, reviews, and location ",4,4,4,I liked that she did more research in round 2 to explain decline in listing over years 
9/6/2017 20:13:10,2,17,less competition higher rating = good for you,4,3,3,i liked the condition formatting however i felt like there needed be more more analysis
9/6/2017 20:17:09,2,4,Invest in centrum-west and centrum-oost,4,4,4,N/A
9/6/2017 20:17:11,2,4,Centrum Oost and Centrum West are ideal for investment ,3,3,3,"Graphs are a bit unclear, slides are look a bit cluttered"
9/6/2017 20:17:58,2,15,Good idea to invest - Waterpark or DePijp,4,5,5,Very great presentation - good that you included outside data regarding most profitable (or most revenue) of other sites in the world. Consider making your conclusion page with less text - could be confusing for an audience who is actually looking for investment. 
9/6/2017 20:18:52,2,4,Centrum West,4,3,4,liked the above/below average point of view
9/6/2017 20:19:06,2,8,"Centrum-West was neighborhood which should be invested in, highest revenue",3,4,4,none
9/6/2017 20:19:10,2,15,Focus on lofts and boats in two neighborhoods and talk to a couple of successful hosts,5,5,5,You could probably cut down on the text on the slides but the presentation was very clear and well laid-out and the visuals were great
9/6/2017 20:19:22,2,8,invest in Amsterdam based on growing tourism and populous areas of amsterdam,4,5,4,blank out gridlines if excel uis used again for presentation
9/6/2017 20:19:25,2,8,"Centrum West makes the most sense to invest in, or take a less desirable location and work on improving other factors.",4,4,4,Really liked the bar graph that was organized by 3 most desirable neighborhoods.
9/6/2017 20:19:29,2,15,Invest in boat or loft in 2 specific neighborhoods,4,4,4,I liked the frequency chart 
9/6/2017 20:19:35,2,8,that amsterdam is a good place invest,4,4,3,i liked the price point by revenue. unfortunantely those were a function of one another so the data will be directly correlated with guest and nights.
9/6/2017 20:21:15,2,15,Partner with others for lofts and boats in westpark and oost,4,5,5,This round was good! I understood everything.
